"CChny_HanyouUniqueKey","CChny_HanyouCodeKey","CChny_Sort","CChny_HanyouCodeValue","CChny_HanyouCodeNaiyou","CChny_HanyouCodeSetumei"
"E_CONTACT_HH19","E_CONTACT_HH",19,"19","19","19時"
"E_CONTACT_HH20","E_CONTACT_HH",20,"20","20","20時"
"E_CONTACT_HH21","E_CONTACT_HH",21,"21","21","21時"
"E_CONTACT_HH22","E_CONTACT_HH",22,"22","22","22時"
"E_CONTACT_HH23","E_CONTACT_HH",23,"23","23","23時"
"E_CONTACT_MM00","E_CONTACT_MM",0,"00","00","00分"
"E_CONTACT_MM15","E_CONTACT_MM",15,"15","15","15分"
"E_CONTACT_MM30","E_CONTACT_MM",30,"30","30","30分"
"E_CONTACT_MM45","E_CONTACT_MM",45,"45","45","45分"
"E_KATAGAWARI01","E_KATAGAWARI",1,"1","京都銀行","京都銀行"
"E_KATAGAWARI02","E_KATAGAWARI",2,"2","京都信用金庫","京都信用金庫"
"E_KATAGAWARI03","E_KATAGAWARI",3,"3","滋賀銀行","滋賀銀行"
"E_KATAGAWARI04","E_KATAGAWARI",4,"4","南都銀行","南都銀行"
"E_KATAGAWARI05","E_KATAGAWARI",5,"5","関西アーバン銀行","関西アーバン銀行"
"E_KATAGAWARI06","E_KATAGAWARI",6,"6","近畿大阪銀行","近畿大阪銀行"
"E_KATAGAWARI07","E_KATAGAWARI",7,"7","住宅支援機構","住宅支援機構"
"E_KATAGAWARI08","E_KATAGAWARI",8,"8","三菱ＵＦＪ銀行","三菱ＵＦＪ銀行"
"E_KATAGAWARI09","E_KATAGAWARI",9,"9","三井住友銀行","三井住友銀行"
"E_KATAGAWARI10","E_KATAGAWARI",10,"10","みずほ銀行","みずほ銀行"
"E_KATAGAWARI11","E_KATAGAWARI",11,"11","りそな銀行","りそな銀行"
"E_KATAGAWARI12","E_KATAGAWARI",12,"12","SBI 新生銀行","SBI 新生銀行"
"E_KATAGAWARI13","E_KATAGAWARI",13,"13","あおぞら銀行","あおぞら銀行"
"E_KATAGAWARI14","E_KATAGAWARI",14,"14","三菱ＵＦＪ信託銀行","三菱ＵＦＪ信託銀行"
"E_KATAGAWARI15","E_KATAGAWARI",15,"15","みずほ信託銀行","みずほ信託銀行"
"E_KATAGAWARI16","E_KATAGAWARI",16,"16","中央三井信託銀行","中央三井信託銀行"
"E_KATAGAWARI17","E_KATAGAWARI",17,"17","住友信託銀行","住友信託銀行"
"E_KATAGAWARI18","E_KATAGAWARI",18,"18","りそな信託銀行","りそな信託銀行"
"E_KATAGAWARI19","E_KATAGAWARI",19,"19","枚方信用金庫","枚方信用金庫"
"E_KATAGAWARI20","E_KATAGAWARI",20,"20","摂津水都信用金庫","摂津水都信用金庫"
"E_KATAGAWARI21","E_KATAGAWARI",21,"21","奈良中央信用金庫","奈良中央信用金庫"
"E_KATAGAWARI22","E_KATAGAWARI",22,"22","中小企業金融公庫","中小企業金融公庫"
"E_KATAGAWARI23","E_KATAGAWARI",23,"23","日本政策金融公庫","日本政策金融公庫"
"E_KATAGAWARI24","E_KATAGAWARI",24,"24","商工組合中央金庫","商工組合中央金庫"
"E_KATAGAWARI25","E_KATAGAWARI",25,"25","ゆうちょ銀行","ゆうちょ銀行"
"E_KATAGAWARI26","E_KATAGAWARI",26,"26","JA","JA"
"E_KATAGAWARI27","E_KATAGAWARI",27,"27","その他","その他"
"E_KOUSHO_ITEM01","E_KOUSHO_ITEM",1,"01","新規（融資）","交渉項目：新規（融資）"
"E_KOUSHO_ITEM02","E_KOUSHO_ITEM",2,"02","増枠（融資）","交渉項目：増枠（融資）"
"E_KOUSHO_ITEM03","E_KOUSHO_ITEM",3,"03","期日管理","交渉項目：期日管理"
"E_KOUSHO_ITEM04","E_KOUSHO_ITEM",4,"04","延滞督促","交渉項目：延滞督促"
"E_KOUSHO_ITEM06","E_KOUSHO_ITEM",5,"06","謝絶説明","交渉項目：謝絶説明"
"E_KOUSHO_ITEM07","E_KOUSHO_ITEM",6,"07","取下申出時対応","交渉項目：取下申出時対応"
"E_KOUSHO_ITEM08","E_KOUSHO_ITEM",7,"08","債権回収管理","交渉項目：債権回収管理"
"E_KOUSHO_ITEM09","E_KOUSHO_ITEM",8,"09","経営改善支援","交渉項目：経営改善支援"
"E_KOUSHO_ITEM99","E_KOUSHO_ITEM",9,"99","その他","交渉項目：その他"
"E_KOUSHO_TNSG01","E_KOUSHO_TNSG",1,"01","営業店:面談","営業店:面談"
"E_KOUSHO_TNSG02","E_KOUSHO_TNSG",2,"02","営業店:作業依頼","営業店:作業依頼"
"E_KOUSHO_TNSG03","E_KOUSHO_TNSG",3,"03","営業店:承認","営業店:承認"
"E_KOUSHO_TNSG04","E_KOUSHO_TNSG",4,"04","営業店:最終承認","営業店:最終承認"
"E_KOUSHO_TNSG05","E_KOUSHO_TNSG",5,"05","融資部:面談内容確認","融資部:面談内容確認"
"E_KOUSHO_TNSG06","E_KOUSHO_TNSG",6,"06","融資部:返済条件相談","融資部:返済条件相談"
"E_KOUSHO_TNSG07","E_KOUSHO_TNSG",7,"07","融資部:作業結果確認","融資部:作業結果確認"
"E_KOUSHO_TNSG08","E_KOUSHO_TNSG",8,"08","融資部:作業依頼","融資部:作業依頼"
"E_KOUSHO_TNSG09","E_KOUSHO_TNSG",9,"09","融資部:承認","融資部:承認"
"E_KOUSHO_TNSG10","E_KOUSHO_TNSG",10,"10","融資部:最終承認","融資部:最終承認"
"E_KOUSHO_TNSG11","E_KOUSHO_TNSG",11,"11","ｺｰﾙｾﾝﾀｰ:面談内容確認","ｺｰﾙｾﾝﾀｰ:面談内容確認"
"E_KOUSHO_TNSG12","E_KOUSHO_TNSG",12,"12","ｺｰﾙｾﾝﾀｰ:ｵｰﾄｺｰﾙ","ｺｰﾙｾﾝﾀｰ:ｵｰﾄｺｰﾙ"
"E_KOUSHO_TNSG13","E_KOUSHO_TNSG",13,"13","ｺｰﾙｾﾝﾀｰ:作業内容登録","ｺｰﾙｾﾝﾀｰ:作業内容登録"
"E_KOUSHO_TNSG14","E_KOUSHO_TNSG",14,"14","ｺｰﾙｾﾝﾀｰ:作業依頼","ｺｰﾙｾﾝﾀｰ:作業依頼"
"E_KOUSHO_TNSG15","E_KOUSHO_TNSG",15,"15","ｺｰﾙｾﾝﾀｰ:承認","ｺｰﾙｾﾝﾀｰ:承認"
"E_KOUSHO_TNSG16","E_KOUSHO_TNSG",16,"16","ｺｰﾙｾﾝﾀｰ:最終承認","ｺｰﾙｾﾝﾀｰ:最終承認"
"E_KOUSHO_TNSG17","E_KOUSHO_TNSG",17,"17","完了","完了"
"E_KOUSHO_TNSG98","E_KOUSHO_TNSG",98,"98","担当作業","担当作業"
"E_KOUSHO_TNSG99","E_KOUSHO_TNSG",99,"99","部店担当作業","部店担当作業"
"E_KOUSHO_TYPE01","E_KOUSHO_TYPE",1,"01","交渉","交渉区分：交渉"
"E_KOUSHO_TYPE02","E_KOUSHO_TYPE",2,"02","融資（事業性）","交渉区分：融資（事業性）"
"E_KOUSHO_TYPE03","E_KOUSHO_TYPE",3,"03","融資（消費性）","交渉区分：融資（消費性）"
"E_KOUSHO_TYPE05","E_KOUSHO_TYPE",4,"05","延滞管理","交渉区分：延滞管理"
"E_KOUSHO_TYPE99","E_KOUSHO_TYPE",5,"99","その他","交渉区分：その他"
"E_SYUKEI_UNIT01","E_SYUKEI_UNIT",1,"01","店別","集計単位 - 店別"
"E_SYUKEI_UNIT02","E_SYUKEI_UNIT",2,"02","ブロック別","集計単位 - ブロック別"
"E_SYUKEI_UNIT03","E_SYUKEI_UNIT",3,"03","担当者別","集計単位 - 担当者別"
"E_TARGET_ACRY01","E_TARGET_ACRY",1,"1","不確定","不確定"
"E_TARGET_ACRY02","E_TARGET_ACRY",2,"2","確定","確定"
"E_TARGET_ACRY03","E_TARGET_ACRY",3,"3","取下","取下"
"E_TARGET_ACRY04","E_TARGET_ACRY",4,"4","否認","否認"
"E_TARGET_ACRY05","E_TARGET_ACRY",5,"5","実行済","実行済"
"E_TARGET_DIV01","E_TARGET_DIV",2,"01","事業性","ネタ項目分類コード - 事業性"
"E_TARGET_DIV02","E_TARGET_DIV",3,"02","消費性","ネタ項目分類コード - 消費性"
"E_TARGET_DIV03","E_TARGET_DIV",4,"03","その他(割,条,極度他)","ネタ項目分類コード - その他"
"E_TARGET_DIV04","E_TARGET_DIV",1,"04","事業性＋消費性","ネタ項目分類コード - 事業性＋消費性"
"E_TARGET_EXRS01","E_TARGET_EXRS",1,"1","否決","否決"
"E_TARGET_EXRS02","E_TARGET_EXRS",2,"2","条件付承認","条件付承認"
"E_TARGET_EXRS03","E_TARGET_EXRS",3,"3","承認","承認"
"E_TARGET_EXST01","E_TARGET_EXST",1,"1","未審査","未審査"
"E_TARGET_EXST02","E_TARGET_EXST",2,"2","審査中","審査中"
"E_TARGET_EXST03","E_TARGET_EXST",3,"3","差戻中","差戻中"
"E_TARGET_EXST04","E_TARGET_EXST",4,"4","審査済","審査済"
"E_TARGET_INRS01","E_TARGET_INRS",1,"1","否決","否決"
"E_TARGET_INRS02","E_TARGET_INRS",2,"2","差戻","差戻"
"E_TARGET_INRS03","E_TARGET_INRS",3,"3","条件付承認","条件付承認"
"E_TARGET_INRS04","E_TARGET_INRS",4,"4","承認","承認"
"E_TARGET_INRS05","E_TARGET_INRS",5,"5","対象外","対象外"
"EIGYOBI0","EIGYOBI",1,"0","平日営業日","一般的な銀行営業日を意味する。　土・日・祝日・１月１～３日・１２月３１日を除いた日付"
"EIGYOBI1","EIGYOBI",2,"1","休日営業日","平日営業日以外の勘定系オンライン稼働日を意味する。土・日・祝日・１月３日・１２月３１日を言う。"
"EIGYOBI2","EIGYOBI",3,"2","非営業日","勘定系オンライン非稼働日を意味する。１月１日・２日"
"ENTAISYUBETU1","ENTAISYUBETU",1,"1","元金延滞","元金延滞発生口座"
"ENTAISYUBETU2","ENTAISYUBETU",2,"2","利息延滞","利息延滞発生口座（元金延滞はなし）"
"ENTAISYUBETU3","ENTAISYUBETU",3,"3","最終期日","最終期限のみ"
"ENTAISYUBETU4","ENTAISYUBETU",4,"4","手形期日","手形期日経過口座"
"ENTAISYUBETU6","ENTAISYUBETU",6,"6","管理債権","管理債権口座"
"ENTAISYUBETU8","ENTAISYUBETU",8,"8","識別なし","未使用"
"ENTAISYUBETU9","ENTAISYUBETU",9,"9","その他","未使用"
"ETTLD_DETAIL1","ETTLD_DETAIL",1,"1","抵当権","抵当権"
"ETTLD_DETAIL2","ETTLD_DETAIL",2,"2","質権","質権"
"ETTLD_DETAIL3","ETTLD_DETAIL",3,"3","譲渡担保","譲渡担保"
"ETTLD_DETAIL4","ETTLD_DETAIL",4,"4","その他","その他"
"EVAL_MEAN1","EVAL_MEAN",1,"1","路線価方式","路線価方式"
"EVAL_MEAN2","EVAL_MEAN",2,"2","固定資産税評価額方式","固定資産税評価額方式"
"EVAL_MEAN3","EVAL_MEAN",3,"3","個別（土地）方式","個別（土地）方式"
"EVAL_MEAN4","EVAL_MEAN",4,"4","原価法","原価法"
"EVAL_MEAN5","EVAL_MEAN",5,"5","マンション評価額方式","マンション評価額方式"
"EVAL_MEAN6","EVAL_MEAN",6,"6","収益還元法","収益還元法"
"Finance","DEFINITION",7,"Finance","電子稟議（稟議）","ユーザ登録関連で利用"
"GENJYOYOUTO01","GENJYOYOUTO",1,"01","建付地","建付地"
"GENJYOYOUTO02","GENJYOYOUTO",2,"02","更地","更地"
"GENJYOYOUTO03","GENJYOYOUTO",3,"03","資材置場","資材置場"
"GENJYOYOUTO04","GENJYOYOUTO",4,"04","駐車場","駐車場"
"GENJYOYOUTO05","GENJYOYOUTO",5,"05","私道","私道"
"GENJYOYOUTO06","GENJYOYOUTO",6,"06","道路","道路"
"GENJYOYOUTO99","GENJYOYOUTO",9,"99","その他","その他"
"GKAKUDUKE01","GKAKUDUKE",1,"01","AAA+","R&I AAA+"
"GKAKUDUKE02","GKAKUDUKE",2,"02","AAA","R&I AAA"
